Nome,Endereço,Telefone,WhatsApp Validado,Website,Google Maps URL,Avaliações,Nota,Status Otimização,Template Usado,Data,Email,Mensagem Enviada,Observações
PIZZARIA FORTALEZA,"R. Riachuelo, 221 - Loja E - Centro, Rio de Janeiro - RJ, 20230-011, Brazil",+55 21 99469-1984,+5521994691984,,https://maps.google.com/?cid=2953572205221028563,93,4.2,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:25:46.743692,,False,
Trattoria 1958,"R. Sen. Dantas, 23 - Loja B - Centro, Rio de Janeiro - RJ, 20031-204, Brazil",+55 21 2220-2783,+552122202783,,https://maps.google.com/?cid=6708295605823943345,1102,4.4,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:25:48.131928,,False,
Tribas Pizzas,"Rua Paschoal Carlos Magno, 109 - Santa Teresa, Rio de Janeiro - RJ, 20240-290, Brazil",+55 21 3689-6609,+552136896609,,https://maps.google.com/?cid=6365346676155224267,959,4.6,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:25:49.575679,,False,
Baixo Glória,"Rua Conde de Lages, 44 - Centro, Rio de Janeiro - RJ, 20241-080, Brazil",+55 21 2507-0995,+552125070995,,https://maps.google.com/?cid=7243227191986835119,96,4.5,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:25:50.945630,,False,
Restaurante Coliseu das Massas,"R. Sete de Setembro, 171 - Centro, Rio de Janeiro - RJ, 20050-006, Brazil",+55 21 2242-6102,+552122426102,https://coliseudasmassas.com.br/,https://maps.google.com/?cid=12121830308869080195,4401,4.3,Potencialmente Otimizado,Baixa Prioridade,2025-08-20 13:25:52.663041,,False,
Vezpa Pizzas - Lapa,"R. do Lavradio, 198 - Lapa, Rio de Janeiro - RJ, 20230-070, Brazil",+55 21 2540-0800,+552125400800,,https://maps.google.com/?cid=11666839679037578019,967,4.2,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:25:54.025328,,False,
Bar do Augusto Pizzaria,"150 - Av. Mem de Sá, 72 - Lapa, Rio de Janeiro - RJ, 20230-152, Brazil",+55 22926816,,,https://maps.google.com/?cid=1050078889813133558,417,4.2,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:25:55.403485,,False,
PIZZA NOSTRA,"R. S. José, 35 - Centro, Rio de Janeiro - RJ, 20010-020, Brazil",+55 21 2533-1688,+552125331688,,https://maps.google.com/?cid=18123522062307285810,34,3.7,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:25:57.111132,,False,
Kilograma,"R. Riachuelo, 315 - Centro, Rio de Janeiro - RJ, 20230-011, Brazil",+55 21 2146-2666,+552121462666,,https://maps.google.com/?cid=5143576065906297216,3422,4.1,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:25:58.542027,,False,
Esquina de Santa Cafeteria & Pizzaria,"R. Monte Alegre, 348 - Santa Teresa, Rio de Janeiro - RJ, 20240-195, Brazil",+55 21 2508-7112,+552125087112,,https://maps.google.com/?cid=10544517041925335950,523,4.5,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:26:00.384306,,False,
Domino's Pizza,"R. das Marrecas, 19 - Centro, Rio de Janeiro - RJ, 20031-120, Brazil",+55 21 2262-3030,+552122623030,https://www.dominos.com.br/?utm_source=google_maps&utm_medium=Link&utm_campaign=google_maps,https://maps.google.com/?cid=9514097663471746421,1143,4.3,Potencialmente Otimizado,Baixa Prioridade,2025-08-20 13:26:01.727960,,False,
Delícia dos Sucos - Lanchonete e Pizzaria,"Av. Henrique Valadares, 140 - Centro, Rio de Janeiro - RJ, 20231-031, Brazil",+55 21 2232-0168,+552122320168,,https://maps.google.com/?cid=5849944320344107325,101,4.4,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:26:03.352880,,False,
Pizza do Rão,"R. Ubaldino do Amaral, 14 - Lapa, Rio de Janeiro - RJ, 20231-016, Brazil",+55 800 000 1231,+558000001231,https://gruporao.com.br/,https://maps.google.com/?cid=11011623959308989266,54,3.4,Avaliação Baixa - Média Prioridade,Média Prioridade,2025-08-20 13:26:04.808971,,False,
Lapa Gastrô - Restaurante - Bar - Petisqueria,"R. Riachuelo, 184 - Centro, Rio de Janeiro - RJ, 20230-014, Brazil",+55 21 97524-7665,+5521975247665,https://instagram.com/lapa.gastro?igshid=YTQwZjQ0NmI0OA==,https://maps.google.com/?cid=14004635106981377976,270,3.9,Avaliação Baixa - Média Prioridade,Média Prioridade,2025-08-20 13:26:06.989777,,False,
Pizza House,"Atendimento On-line via WhatsApp Atendimento On-line via WhatsApp (21) 99181-5799 - Rua Estrela, 78 (21)99896-5675 - atendimento via WhatsApp - Rua Estrela, 78 - Rio Comprido, Rio de Janeiro - RJ, 20251-021, Brazil",+55 21 2186-8621,+552121868621,,https://maps.google.com/?cid=16030045856180406370,587,4.5,Sem Website - Alta Prioridade,Alta Prioridade,2025-08-20 13:26:08.334974,,False,
